case_id,timestamp,activity,actor_role,item_category,order_type,quantity,station,shift,scan_method,status,exception_type,delay_minutes,robotics_ai_touchpoint,data_origin
ORD-0001,2024-01-16 08:32,Pick List Received,admin_operator,food,outbound,15,Admin,morning,handheld_scanner,completed,,0,workflow_dashboard,synthetic
ORD-0001,2024-01-16 08:37,Location Search,warehouse_operator,food,outbound,15,A,morning,handheld_scanner,completed,,0,AMR_route_support,synthetic
ORD-0001,2024-01-16 08:49,Item Picking,warehouse_operator,food,outbound,15,A,morning,handheld_scanner,completed,,0,robotic_picking_support,synthetic
ORD-0001,2024-01-16 08:50,Barcode Scan,scan_operator,food,outbound,15,B,morning,handheld_scanner,completed,,0,barcode_ocr_verification,synthetic
ORD-0001,2024-01-16 09:06,Product Sorting,sort_operator,food,outbound,15,C,morning,handheld_scanner,rework,damaged_packaging,20,automated_sorting,synthetic
ORD-0001,2024-01-16 09:17,Exception Review,floor_supervisor,food,outbound,15,Supervisor,morning,handheld_scanner,reviewed,damaged_packaging,15,exception_decision_support,synthetic
ORD-0001,2024-01-16 09:22,Repacking,packing_operator,food,outbound,15,E,morning,handheld_scanner,completed,,0,packing_assist,synthetic
ORD-0001,2024-01-16 09:27,Inspection,inspection_operator,food,outbound,15,D,morning,handheld_scanner,exception,wrong_location,33,vision_based_inspection,synthetic
ORD-0001,2024-01-16 09:33,Packing,packing_operator,food,outbound,15,E,morning,handheld_scanner,completed,,0,packing_assist,synthetic
ORD-0001,2024-01-16 09:58,Loading Support,loading_support,food,outbound,15,F,morning,handheld_scanner,completed,,0,AMR_AGV_transport,synthetic
ORD-0001,2024-01-16 10:05,Daily Report,admin_operator,food,outbound,15,Admin,morning,handheld_scanner,completed,,0,operational_intelligence_report,synthetic
ORD-0002,2024-01-13 09:51,Pick List Received,admin_operator,food,outbound,15,Admin,morning,pda_terminal,completed,,0,workflow_dashboard,synthetic
ORD-0002,2024-01-13 09:58,Location Search,warehouse_operator,food,outbound,15,A,morning,pda_terminal,completed,,0,AMR_route_support,synthetic
ORD-0002,2024-01-13 10:08,Item Picking,warehouse_operator,food,outbound,15,A,morning,pda_terminal,completed,,0,robotic_picking_support,synthetic
ORD-0002,2024-01-13 10:14,Barcode Scan,scan_operator,food,outbound,15,B,morning,pda_terminal,rework,quantity_mismatch,28,barcode_ocr_verification,synthetic
ORD-0002,2024-01-13 10:27,Exception Review,floor_supervisor,food,outbound,15,Supervisor,morning,pda_terminal,reviewed,quantity_mismatch,12,exception_decision_support,synthetic
ORD-0002,2024-01-13 10:40,Re-inspection,inspection_operator,food,outbound,15,D,morning,pda_terminal,completed,,0,vision_based_inspection,synthetic
ORD-0002,2024-01-13 10:53,Product Sorting,sort_operator,food,outbound,15,C,morning,pda_terminal,completed,,0,automated_sorting,synthetic
ORD-0002,2024-01-13 10:57,Inspection,inspection_operator,food,outbound,15,D,morning,pda_terminal,exception,damaged_packaging,14,vision_based_inspection,synthetic
ORD-0002,2024-01-13 11:14,Exception Review,floor_supervisor,food,outbound,15,Supervisor,morning,pda_terminal,reviewed,damaged_packaging,19,exception_decision_support,synthetic
ORD-0002,2024-01-13 11:20,Repacking,packing_operator,food,outbound,15,E,morning,pda_terminal,completed,,0,packing_assist,synthetic
ORD-0002,2024-01-13 11:32,Packing,packing_operator,food,outbound,15,E,morning,pda_terminal,rework,damaged_packaging,37,packing_assist,synthetic
ORD-0002,2024-01-13 11:41,Exception Review,floor_supervisor,food,outbound,15,Supervisor,morning,pda_terminal,reviewed,damaged_packaging,20,exception_decision_support,synthetic
ORD-0002,2024-01-13 11:46,Repacking,packing_operator,food,outbound,15,E,morning,pda_terminal,completed,,0,packing_assist,synthetic
ORD-0002,2024-01-13 12:15,Loading Support,loading_support,food,outbound,15,F,morning,pda_terminal,exception,quantity_mismatch,29,AMR_AGV_transport,synthetic
ORD-0002,2024-01-13 12:36,Exception Review,floor_supervisor,food,outbound,15,Supervisor,morning,pda_terminal,reviewed,quantity_mismatch,13,exception_decision_support,synthetic
ORD-0002,2024-01-13 12:47,Re-inspection,inspection_operator,food,outbound,15,D,morning,pda_terminal,completed,,0,vision_based_inspection,synthetic
ORD-0002,2024-01-13 12:49,Daily Report,admin_operator,food,outbound,15,Admin,morning,pda_terminal,completed,,0,operational_intelligence_report,synthetic
ORD-0003,2024-02-15 22:44,Pick List Received,admin_operator,cosmetics,outbound,18,Admin,night,pda_terminal,completed,,0,workflow_dashboard,synthetic
ORD-0003,2024-02-15 22:46,Location Search,warehouse_operator,cosmetics,outbound,18,A,night,pda_terminal,completed,,0,AMR_route_support,synthetic
ORD-0003,2024-02-15 22:59,Item Picking,warehouse_operator,cosmetics,outbound,18,A,night,pda_terminal,completed,,0,robotic_picking_support,synthetic
